Name,Type,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
Phillips Orchards & Cider Mill,Cider,St Johns,Michigan,USA,43.1177,-84.563483,https://maps.google.com/?cid=7103527741412567137,http://www.phillipsorchards.com/,https://www.facebook.com/PhillipsOrchards,https://www.instagram.com/phillipsorchards/,https://www.yelp.com/biz/phillips-orchard-and-cider-mill-saint-johns,https://www.tripadvisor.com/Attraction_Review-g42672-d6875232,https://untappd.com/w/phillips-ciders/423556,https://glintcap.org/phillips-ciders,,,MI-W-21251
Pux Cider,Cider,Conklin,Michigan,USA,43.133327,-85.81501,https://maps.google.com/?cid=14729654215631301426,http://puxcider.com/,https://www.facebook.com/puxcider,https://www.instagram.com/puxcider/,,,https://untappd.com/w/schaefer-cider-co/134723,https://glintcap.org/pux-cider,,,MI-W-21165
Resort Pike Cidery & Winery,Cider,Petoskey,Michigan,USA,45.327378,-84.995197,https://maps.google.com/?cid=8372139989843532129,https://resortpikecideryandwinery.com/,https://www.facebook.com/ResortPike,https://www.instagram.com/resortpike/,https://www.yelp.com/biz/resort-pike-cidery-and-winery-petoskey-2,https://www.tripadvisor.com/Attraction_Review-g42590-d12667349,https://untappd.com/w/resort-pike-cidery-winery/349675,,,,
Robinette Cellars,Cider,Grand Rapids,Michigan,USA,43.027537,-85.592264,https://maps.google.com/?cid=5234107093392955640,https://robinettes.com/,https://www.facebook.com/Robinettes,https://www.instagram.com/robinettesapplehaus/,https://www.yelp.com/biz/robinettes-apple-haus-and-winery-grand-rapids-2,https://www.tripadvisor.com/Attraction_Review-g42256-d5000403,https://untappd.com/w/robinettes-cellars/37464,https://glintcap.org/robinette-cellars,,,MI-W-15062
Saugatuck Brewing Company,Beer,Douglas,Michigan,USA,42.632567,-86.21286,https://maps.google.com/?cid=15895562437074743383,http://saugatuckbrewing.com/,https://www.facebook.com/saugatuckbrewingco,https://www.instagram.com/saugatuckbrew/,https://www.yelp.com/biz/saugatuck-brewing-co-douglas,https://www.tripadvisor.com/Restaurant_Review-g42145-d6785332,https://untappd.com/w/saugatuck-brewing-company/3582,,,,MI-W-21459
Cascade Winery & Sierra Rose Ciders,Wine,Grand Rapids,Michigan,USA,42.878915,-85.562785,https://maps.google.com/?cid=15952962754429138350,http://www.sierrarosewinery.com/,https://www.facebook.com/sierrarosewinery,,https://www.yelp.com/biz/cascade-winery-grand-rapids-2,https://www.tripadvisor.com/Attraction_Review-g42256-d2350889,https://untappd.com/w/sierra-rose-ciders/181647,https://glintcap.org/cascade-winery,,Cascade Winery,MI-W-164
Spicer's Winery,Cider,Fenton,Michigan,USA,42.677486,-83.751844,https://maps.google.com/?cid=3119499086024195213,http://www.spicerorchards.com/,https://www.facebook.com/SpicerOrchards,https://www.instagram.com/spicerorchards/,https://www.yelp.com/biz/spicer-orchards-farm-market-and-cider-mill-fenton,https://www.tripadvisor.com/Attraction_Review-g42199-d4828804,https://untappd.com/w/spicers-carriage-house-cellars/13435,https://glintcap.org/spicers-winery,https://shopciders.com/spicer_s_orchard_winery_llc,Spicer Orchards,MI-W-15095
St. Ambrose Cellars,Mead,Beulah,Michigan,USA,44.618196,-85.998147,https://maps.google.com/?cid=15684792512273738710,https://www.stambrose-mead-wine.com/,https://www.facebook.com/stambrosecellars,https://www.instagram.com/stambrosecellars/,https://www.yelp.com/biz/st-ambrose-cellars-beulah,https://www.tripadvisor.com/Attraction_Review-g41990-d7833716,https://untappd.com/w/st-ambrose-cellars/32218,https://glintcap.org/st-ambrose-cellars,,,MI-W-15141
St. Julian Winery,Wine,Paw Paw,Michigan,USA,42.212252,-85.891725,https://maps.google.com/?cid=2249622530303383968,http://www.stjulian.com/,https://www.facebook.com/StJulianWinery,https://www.instagram.com/stjulianwinery/,https://www.yelp.com/biz/st-julian-winery-paw-paw,https://www.tripadvisor.com/Attraction_Review-g42579-d628973,https://untappd.com/w/st-julian-winery/65357,https://glintcap.org/forbidden-fruit-cider,,,MI-W-1703
Starcut Ciders,Cider,Bellaire,Michigan,USA,44.976269,-85.210357,https://maps.google.com/?cid=2440791440580754774,http://starcutciders.com/,https://www.facebook.com/starcutcidersmi,https://www.instagram.com/starcutciders/,https://www.yelp.com/biz/shorts-brewing-company-bellaire-2,https://www.tripadvisor.com/Restaurant_Review-g41979-d1182151,https://untappd.com/w/starcut-ciders/168123,https://glintcap.org/starcut-ciders,,,MI-W-21248
Suttons Bay Ciders,Cider,Suttons Bay,Michigan,USA,44.905766,-85.643616,https://maps.google.com/?cid=15136373870466556438,http://suttonsbayciders.com/,https://www.facebook.com/SuttonsBayCiders,https://www.instagram.com/suttonsbayciders/,https://www.yelp.com/biz/suttons-bay-ciders-suttons-bay,https://www.tripadvisor.com/Attraction_Review-g42743-d8679187,https://untappd.com/w/suttons-bay-ciders/233040,https://glintcap.org/suttons-bay-ciders,https://shopciders.com/suttons_bay_ciders,,MI-W-21093
Tandem Ciders,Cider,Suttons Bay,Michigan,USA,45.011335,-85.659757,https://maps.google.com/?cid=17873533731324152260,http://www.tandemciders.com/,https://www.facebook.com/TandemCiders/,https://www.instagram.com/tandemciders/,https://www.yelp.com/biz/tandem-ciders-suttons-bay-2,https://www.tripadvisor.com/Attraction_Review-g42743-d2303505,https://untappd.com/w/tandem-ciders/8496,https://glintcap.org/tandem-ciders,https://shopciders.com/tandem_ciders,,MI-W-15081
Texas Corners Brewing Company,Beer,Kalamazoo,Michigan,USA,42.202294,-85.686559,https://maps.google.com/?cid=9884252459046416182,http://texascornersbrewing.com/,https://www.facebook.com/TexasCornersBrewingCompany,https://www.instagram.com/texascornersbrewing/,https://www.yelp.com/biz/texas-corners-brewing-company-kalamazoo,https://www.tripadvisor.com/Restaurant_Review-g42354-d7894053,https://untappd.com/w/texas-corners-brewing-company/144638,https://glintcap.org/texas-corners-brewing-co,,,
The Merry-Hearted Cidery,Cider,Gladwin,Michigan,USA,43.988705,-84.594568,https://maps.google.com/?cid=11587809069752610748,,https://www.facebook.com/MerryHearted,,https://www.yelp.com/biz/fruitful-orchard-and-cider-mill-gladwin,,https://untappd.com/w/the-merry-hearted-cidery/345422,,,,
The Peoples Cider Co.,Cider,Grand Rapids,Michigan,USA,42.973332,-85.610044,https://maps.google.com/?cid=8969869478110154287,http://www.thepeoplescider.com/,https://www.facebook.com/ThePeoplesCiderCo,https://www.instagram.com/thepeoplesciderco/,https://www.yelp.com/biz/the-peoples-cider-grand-rapids,,https://untappd.com/w/the-peoples-cider-co/59440,,,,MI-W-21007
Thornapple Brewing Company,Beer,Grand Rapids,Michigan,USA,42.912347,-85.512693,https://maps.google.com/?cid=9646788014435304722,http://www.thornapplebrewing.com/,https://www.facebook.com/ThornappleBrewingCompany,https://www.instagram.com/thornapplebrewing/,https://www.yelp.com/biz/thornapple-brewing-grand-rapids,https://www.tripadvisor.com/Restaurant_Review-g19275776-d12838215,https://untappd.com/w/thornapple-brewing-co/344603,https://glintcap.org/thornapple-brewing-company,,,MI-W-21177
Townline Ciderworks,Cider,Williamsburg,Michigan,USA,44.863802,-85.422672,https://maps.google.com/?cid=11087802933754517218,https://www.townlineciderworks.com/,https://www.facebook.com/TownlineCiderworks,https://www.instagram.com/townlineciderworks/,https://www.yelp.com/biz/townline-ciderworks-williamsburg,https://www.tripadvisor.com/Attraction_Review-g42825-d12429033,https://untappd.com/w/townline-ciderworks/325715,https://glintcap.org/townline-ciderworks,,,MI-W-21114
Knaebe's Apple Farm & Ciderworks,Cider,Rogers City,Michigan,USA,45.377548,-83.905699,https://maps.google.com/?cid=14938530714960983918,http://www.mmmunchykrunchyapplefarm.com/,,https://www.instagram.com/twistedrootshardcider/,https://www.yelp.com/biz/knaebes-mmmunchy-krunchy-apple-farm-and-cider-mill-rogers-city,https://www.tripadvisor.com/Attraction_Review-g42650-d3576913,https://untappd.com/w/twisted-roots-cider/294312,,,Twisted Roots Cider,MI-W-21147
