Name,Type,Status,City,State_Province,Country,Latitude,Longitude,Google,Website,Facebook,Instagram,URL,Yelp,TripAdvisor,Untappd,GLINTCAP,ShopCiders,Alternate_Name,TTB
Appalachian Ridge Hard Cider,Producer,Active,Hendersonville,North Carolina,USA,35.3544502,-82.4079111,https://www.google.com/maps?cid=17745845995071015259,https://www.saintpaulfarms.com/appalachian-ridge-hard-cider,https://www.facebook.com/people/Appalachian-Ridge-Artisan-Hard-Cider/100029060216040/,https://www.instagram.com/appalachian_ridge/,https://www.saintpaulfarms.com/appalachian-ridge-hard-cider,https://www.yelp.com/biz/appalachian-ridge-artisan-cidery-hendersonville,https://www.tripadvisor.com/Attraction_Review-g49206-d14984484,https://untappd.com/w/saint-paul-mountain-vineyards/217261,,https://shopciders.com/saint_paul_mountain_vineyards,Saint Paul Mountain Vineyards,NC-W-20445
Sandia Hard Cider,Producer,Active,Albuquerque,New Mexico,USA,35.113025,-106.629521,https://maps.google.com/?cid=10960141526376680070,,https://www.facebook.com/sandiahardcider/,https://www.instagram.com/sandiahardcider/,https://www.instagram.com/sandiahardcider/,https://www.yelp.com/biz/the-craftroom-albuquerque,,https://untappd.com/w/sandia-hard-cider/286813,,,,
Santa Barbara Cider Co.,Producer,Active,Goleta,California,USA,34.434713,-119.825773,https://maps.google.com/?cid=13468292348466273557,https://www.sbcider.com/,,https://www.instagram.com/sbciderco/,https://www.sbcider.com/,,,https://untappd.com/w/santa-barbara-cider-company/359136,,,,
Santa Cruz Cider Co.,Producer,Active,Santa Cruz,California,USA,36.959789,-122.048975,https://www.google.com/maps?cid=16427348691643937890,http://www.santacruzciderco.com/,,https://www.instagram.com/santacruzciderco/,http://www.santacruzciderco.com/,,,https://untappd.com/w/santa-cruz-cider-company/95411,http://glintcap.org/santa-cruz-cider-co/,,,
Sapsucker Farms Yellow Belly Cidery,Producer,Active,Mora,Minnesota,USA,45.8970174,-93.152247,https://www.google.com/maps?cid=10529182272851607589,https://www.sapsuckerfarms.com/,https://www.facebook.com/YellowBellyCider/,https://www.instagram.com/sapsuckerfarms/,https://www.sapsuckerfarms.com/,https://www.yelp.com/biz/sapsucker-farms-yellow-belly-cidery-mora,https://www.tripadvisor.com/Attraction_Review-g43337-d15594799,https://untappd.com/w/sapsucker-farms/187535,http://glintcap.org/sapsucker-farms/,,,MN-W-15051
Saratoga Apple,Producer,Active,Schuylerville,New York,USA,43.105629,-73.589539,https://maps.google.com/?cid=13916847811352807156,http://www.saratogaapple.com/,,,http://www.saratogaapple.com/,https://www.yelp.com/biz/saratoga-apple-schuylerville,,,,,,
Saro Cider,Producer,Active,Lincoln,Nebraska,USA,40.812684,-96.695605,https://maps.google.com/?cid=14239117714929818609,https://sarocider.com/,https://www.facebook.com/4SaroCider,https://www.instagram.com/sarocider/,https://sarocider.com/,https://www.yelp.com/biz/saro-cider-lincoln,https://www.tripadvisor.com/Restaurant_Review-g45667-d15141590,https://untappd.com/w/saro-cider/407311,https://glintcap.org/saro-cider/,https://shopciders.com/saro_cider,,NE-W-21016
Sawhorse Cider,Producer,Active,Angwin,California,USA,38.599144,-122.468082,https://goo.gl/maps/Beds5Tqu8HU2,https://www.sawhorseciders.com/,,,https://www.sawhorseciders.com/,,,,,,,
Scar of the Sea,Producer,Active,Santa Maria,California,USA,34.893598,-120.299626,https://maps.google.com/?cid=7351321639088748491,http://www.scaroftheseawines.com/,,https://www.instagram.com/scar_of_the_sea/,http://www.scaroftheseawines.com/,,,https://untappd.com/w/scar-of-the-sea-wines/130497,,,,
Schilling Cider,Producer,Active,Auburn,Washington,USA,47.347243,-122.233995,https://www.google.com/maps?cid=18192055679873119908,http://www.schillingcider.com/,,,http://www.schillingcider.com/,https://www.yelp.com/biz/schilling-tasting-room-auburn,,https://untappd.com/w/schilling-cider/62413,http://glintcap.org/schilling-cider/,,,
Schlafly Beer,Producer,Active,St. Louis,Missouri,USA,38.633046,-90.209757,https://maps.google.com/?cid=11217754727019783593,http://schlafly.com/,,,http://schlafly.com/,https://www.yelp.com/biz/the-schlafly-tap-room-saint-louis,https://www.tripadvisor.com/Restaurant_Review-g44881-d441438,https://untappd.com/w/schlafly-the-saint-louis-brewery/1092,,,,
Scrumpy Ewe Cider,Producer,Active,West Fulton,New York,USA,42.563312,-74.46737,https://maps.google.com/?cid=14576384967586398367,https://www.scrumpyewecider.com/,,https://www.instagram.com/scrumpyewecider/,https://www.scrumpyewecider.com/,,,https://untappd.com/w/scrumpy-ewe/361970,,https://shopciders.com/scrumpy_ewe_cider,,
